Institution,ED Acceptance Rate,Overall Acceptance Rate,Regular Acceptance Rate,% Submitting SAT,% Submitting ACT,SAT Math (25th-75th),SAT R/W (25th-75th),ACT (25th-75th),International Student Acceptance Rate,Demonstrated Interest,Early Decision I deadline,Early Decision II deadline,Early Action I deadline,Early Action II deadline,Regular Decision Decision,Cost of Attendance,% Receiving Merit Aid (No Need),Avg Merit Award,% of Need Met,Avg Need-Based Grant,% Living On-Campus,On-Campus Housing Requirement,Median Earnings (6 Years),Median Earnings (10 Years),20-Year Net ROI,Freshman Retention Rate,4-Year Graduation Rate,6-Year Graduation Rate,Notable Scholarships/Programs,Computer Science Graduate Median Starting Salary,City,State,Avg Jan Temp,Avg April Temp,Avg July Temp,Avg Oct Temp,Days w/ Precipitation,Sunny Days,Total Undergraduate Enrollment,% Female,% Male,% African-American,% Asian,% Hispanic,% White,% Unknown,% International
Smith College,38%,21%,19%,29%,14%,700-780,720-760,32-35,6%,Considered,Nov 15,Jan 1,-,-,Jan 15,"$94,159",4%,"$23,348",100%,"$67,599",98%,Through Senior Year,"$45,731","$64,027","$733,000",93%,70%,90%,,,Northampton,MA,33°/12°,59°/34°,82°/58°,61°/37°,117,189,"2,549",100%,0%,5%,9%,12%,50%,,14%
Soka University of America,N/A,44%,48%,16%,1%,713-790,620-720,25-31*,26%,Important,Oct 15,-,-,-,Jan 15,"$61,156",Not Reported,"$34,620",91%,,100%,Through Senior Year,,,,92%,79%,90%,Global Merit Scholarships,,Aliso Viejo,CA,67°/43°,73°/49°,73°/49°,78°/54°,37,281,484,62%,38%,1%,10%,14%,12%,,55%
Southern Methodist University,87%,63%,33%,16%,9%,670-750,670-740,30-34,40%,Considered,-,-,-,-,-,"$93,014",32%,"$27,376",90%,"$52,753",50%,Through Freshman Year,"$65,556","$78,354","$965,000",91%,76%,83%,President's Scholars Program,,Dallas,TX,56°/36°,76°/55°,95°/75°,78°/56°,78,234,"7,285",51%,49%,5%,8%,18%,56%,,4%
Southwestern University,58%,43%,30%,44%,13%,550-630,580-670,26-30,8%,Considered,-,-,-,-,-,"$76,493",Not Reported,"$45,367",92%,,74%,Through Sophomore Year,,,,81%,67%,72%,,,Georgetown,TX,60°/36°,79°/54°,95°/72°,81°/56°,73,229,"1,440",55%,45%,6%,3%,30%,51%,,2%
Spelman College,19%,25%,20%,23%,16%,518-640,590-680,22-29,Not Reported,Very Important,-,-,-,-,-,"$56,394",3%,"$25,840",26%,"$16,508",54%,Through Freshman Year,"$45,676","$59,993","$671,000",92%,70%,76%,,,Atlanta,GA,52°/33°,73°/49°,88°/70°,73°/52°,109,217,"2,712",100%,0%,97%,1%,0%,0%,,0%
St Lawrence University,47%,54%,40%,15%,5%,610-710,645-710,30-33,Not Reported,Not Considered,-,-,-,-,-,"$87,050",Not Reported,"$51,336",92%,,99%,Through Senior Year,,,,88%,68%,81%,,,Canton,NY,26°/5°,54°/33°,79°/58°,57°/37°,147,160,"1,949",52%,48%,2%,2%,6%,76%,,11%
St Olaf College,58%,48%,34%,11%,29%,640-730,660-740,28-32,21%,Important,-,-,-,-,-,"$78,600",Not Reported,"$54,605",100%,,99%,Through Senior Year,,,,91%,77%,85%,,,Northfield,MN,23°/5°,57°/35°,82°/61°,59°/37°,102,192,"3,124",58%,42%,3%,5%,10%,67%,,11%
St. John's College (MD),70%,55%,55%,40%,12%,590-690,680-750,27-32,26%,Important,-,-,-,-,-,"$60,425",Not Reported,"$31,496",80%,,75%,Through Sophomore Year,,,,84%,50%*,67%*,,,Annapolis,MD,43°/28°,66°/46°,87°/70°,68°/51°,110,108,473,49%,51%,1%,3%,9%,63%,,14%
St. John's College (NM),70%,53%,53%,37%,14%,620-690,680-750,28-34,21%,Important,-,-,-,-,-,"$55,824",Not Reported,"$32,508",86%,,93%,Through Senior Year,,,,77%,39%*,60%*,,,Santa Fe,NM,44°/18°,65°/33°,86°/55°,67°/36°,66,283,368,50%,50%,1%,1%,11%,64%,,12%
St. Mary's College of Maryland,96%,69%,49%,27%,5%,553-650,590-690,26-31,3%,Considered,-,-,-,-,-,"$34,154 (IS) / $50,713 (OS)",Not Reported,"$11,877",80%,,82%,None,,,,84%,60%,71%,,,St. Mary's City,MD,45°/28°,88°/70°,88°/70°,69°/51°,120,205,"1,632",60%,40%,11%,3%,9%,69%,,1%
Stanford University,N/A,4%,4%,50%,19%,770-800,740-780,34-35,Not Reported,Not Considered,-,-,Nov 15,-,Feb 15,"$96,513",0.10%,"$4,150",100%,"$70,114",96%,Through Freshman Year,"$102,887","$124,080","$1,630,000",98%,56%,94%,,,Stanford,CA,58°/41°,69°/47°,80°/57°,74°/51°,61,260,"7,904",52%,48%,7%,29%,17%,23%,,13%
SUNY New Paltz,N/A,Not Reported,Not Reported,12%,3%,570-650,600-690,25-29,55%,Considered,-,-,-,-,-,"$30,882 (IS) / $41,482 (OS)",Not Reported,"$6,565",61%,,39%,Through Freshman Year,,,,85%,58%,72%,,"$67,324",New Paltz,NY,35°/13°,60°/35°,84°/59°,63°/37°,125,177,"6,197",63%,37%,7%,5%,24%,58%,,1%
Stetson University,89%,72%,64%,19%,9%,520-610,540-660,21-28,38%,Considered,-,-,-,-,-,"$80,381",Not Reported,"$48,329",89%,,72%,Through Junior Year,,,,73%,56%,63%,,,DeLand,FL,70°/47°,82°/58°,82°/58°,84°/65°,120,232,"2,349",56%,44%,12%,2%,22%,48%,,9%
Stevens Institute of Technology,72%,48%,25%,36%,6%,710-770,670-735,31-34,32%,Considered,-,-,-,-,-,"$87,926",Not Reported,"$36,062",71%,,46%,None,"$90,326","$108,772","$1,404,000",94%,81%,88%,Ann P. Nepauer Scholarship,"$77,213",Hoboken,NJ,39°/25°,62°/44°,86°/68°,65°/48°,115,220,"4,204",34%,66%,3%,21%,17%,47%,,3%
Stonehill College,Not Reported,Not Reported,Not Reported,Test Blind,Test Blind,,,,29%,Considered,-,-,-,-,-,"$74,005",Not Reported,"$37,736",86%,,86%,None,,,,87%,70%,80%,,,Easton,MA,37°/17°,58°/36°,58°/36°,62°/40°,121,201,"2,579",54%,46%,6%,3%,8%,76%,,3%
Stony Brook University,N/A,Not Reported,Not Reported,34%,3%,680-770,650-730,29-33,73%,Considered,-,-,-,-,-,"$33,275 (IS) / $57,255 (OS)",31%,"$2,599",58%,"$11,577",52%,None,"$59,492","$74,502","$991,000",89%,65%,78%,,"$67,101",Stony Brook,NY,,,,,,,"18,263",51%,49%,6%,36%,16%,25%,,9%
SUNY Purchase College,N/A,Not Reported,Not Reported,10%,2%,565-670,620-710,27-30,87%,Considered,-,-,-,-,-,"$30,589 (IS) / $40,499 (OS)",Not Reported,"$9,831",37%,,72%,None,,,,79%,52%,64%,,,Purchase,NY,38°/21°,61°/39°,84°/63°,64°/43°,119,200,"3,283",58%,42%,12%,4%,29%,47%,,2%
SUNY College at Geneseo,N/A,Not Reported,Not Reported,12%,1%,590-670,600-670,26-31,58%,Very Important,-,-,-,-,-,"$29,061 (IS) / $39,631 (OS)",Not Reported,"$10,326",69%,,57%,Through Sophomore Year,,,,85%,64%,74%,,,Geneseo,NY,32°/16°,57°/35°,81°/59°,60°/40°,157,165,"3,902",64%,36%,4%,3%,8%,78%,,1%
SUNY College of Environmental Science and Forestry,N/A,Not Reported,Not Reported,87%*,43%*,560-650*,560-660*,23-29*,66%,Very Important,-,-,-,-,-,"$30,310 (IS) / $44,260 (OS)",Not Reported,"$8,916",71%,,32%,Through Freshman Year,,,,82%,56%,70%,,,Syracuse,NY,31°/15°,57°/36°,81°/61°,60°/42°,166,161,"1,984",50%,50%,3%,3%,11%,75%,,2%
Swarthmore College,18%,7%,6%,39%,16%,750-790,740-770,33-35,3%,Not Considered,Nov 15,Jan 4,-,-,Jan 4,"$93,172",0.01%,Not Reported,100%,"$70,208",94%,Through Freshman Year,"$56,211","$80,257","$1,072,000",96%,76%,94%,,,Swarthmore,PA,40°/26°,64°/45°,87°/70°,67°/49°,120,205,"1,623",52%,48%,9%,17%,15%,30%,,13%
Syracuse University,58%,46%,45%,22%,9%,630-720,640-720,29-32,43%,Important,-,-,-,-,Jan 1,"$92,061",33%,"$18,253",98%,"$45,033",54%,Through Sophomore Year,"$60,459","$79,164","$943,000",91%,76%,83%,Coronat Scholars Program,"$81,333",Syracuse,NY,31°/15°,56°/36°,81°/61°,60°/41°,165,163,"15,957",56%,44%,8%,7%,12%,57%,,9%
Temple University,N/A,Not Reported,Not Reported,15%,2%,550-680,570-680,24-31,71%,Considered,-,-,-,-,-,"$42,129 (IS) / $58,550 (OS)",Not Reported,"$15,980",62%,,23%,None,"$50,860","$63,727","$800,000",84%,59%,76%,,,Philadelphia,PA,42°/27°,65°/44°,88°/68°,68°/49°,123,205,"21,428",55%,45%,20%,15%,11%,40%,,4%
Texas A&M University,N/A,Not Reported,Not Reported,71%,19%,570-710,580-690,25-31,57%,Considered,-,-,-,-,-,"$32,486 (IS) / $59,715 (OS)",14%,"$5,474",72%,"$14,521",18%,None,"$59,386","$72,097","$970,000",94%,61%,84%,,"$75,011",College Station,TX,61°/39°,79°/56°,95°/73°,82°/58°,90,209,"60,710",47%,53%,2%,14%,26%,52%,,1%
Texas Christian University (TCU),69%,44%,31%,22%,20%,590-690,610-690,28-32,34%,Not Considered,-,-,-,-,-,"$88,072",37%,"$23,555",81%,"$50,870",48%,Through Sophomore Year,"$60,435","$68,424","$790,000",93%,74%,85%,Chancellor's Scholars,,Fort Worth,TX,57°/35°,76°/54°,96°/74°,78°/56°,79,229,"11,049",61%,39%,4%,3%,19%,62%,,4%
Texas Tech University,N/A,Not Reported,Not Reported,33%,11%,540-640,550-640,23-28,34%,Considered,-,-,-,-,-,"$28,525 (IS) / $40,825 (OS)",Not Reported,"$11,991",61%,,23%,Through Freshman Year,,,,85%,51%,66%,,"$74,017",,,,,,,,,"32,580",50%,50%,6%,3%,30%,52%,,2%
The College of New Jersey (TCNJ),N/A,Not Reported,Not Reported,39%,3%,570-670,570-670,26-31,35%,Important,-,-,-,-,-,"$41,524 (IS) / $47,888 (OS)",Not Reported,"$15,835",41%,,44%,Through Freshman Year,"$62,649","$73,323","$958,000",91%,76%,86%,,"$67,660",Ewing,NJ,39°/22°,62°/41°,85°/65°,65°/44°,120,205,"7,435",56%,44%,6%,10%,18%,59%,,1%
The College of Wooster,N/A,Not Reported,Not Reported,25%,22%,590-720,630-740,27-33,26%,Considered,-,-,-,-,-,"$82,060",29%,"$39,386",95%,"$47,139",98%,Through Senior Year,,,,82%,63%,75%,,,Wooster,OH,34°/18°,60°/38°,83°/60°,63°/40°,138,168,"1,738",53%,47%,10%,4%,5%,61%,,14%
The New School,N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,60%,Considered,-,-,-,-,-,"$92,950",Not Reported,"$18,831",61%,,26%,Through Freshman Year,,,,83%,47%,70%,,,,,,,,,,,"6,682",77%,23%,5%,13%,11%,30%,,34%
The University of Alabama,N/A,Not Reported,Not Reported,15%,43%,580-710,590-690,24-31,38%,Not Considered,-,-,-,-,-,"$33,028 (IS) / $55,886 (OS)",36%,"$19,109",64%,"$19,144",27%,Through Freshman Year,"$52,233","$59,221","$759,000",88%,57%,73%,,,Tuscaloosa,AL,55°/34°,76°/50°,92°/71°,77°/52°,107,214,"34,389",56%,44%,11%,1%,8%,71%,,1%
The University of Montana,N/A,Not Reported,Not Reported,1%,1%,530-628,550-650,19-26,34%,Not Considered,-,-,-,-,-,"$28,816 (IS) / $54,024 (OS)",Not Reported,"$5,760",50%,,40%,Through Freshman Year,,,,75%,34%,48%,,,Missoula,MT,34°/18°,58°/33°,85°/51°,57°/32°,159,120,"8,014",58%,42%,1%,1%,6%,72%,,1%
The University of Tampa,N/A,Not Reported,Not Reported,19%,9%,560-650,580-650,23-28,29%,Considered,-,-,-,-,-,"$59,818",Not Reported,"$23,445",77%,,46%,None,,,,82%,55%,64%,,,Tampa,FL,70°/53°,81°/64°,91°/76°,84°/69°,102,244,"10,594",58%,42%,3%,2%,13%,71%,,5%
The University of Tennessee-Knoxville (UTK),N/A,Not Reported,Not Reported,24%,81%,600-690,600-680,25-31,29%,Not Considered,-,-,-,-,-,"$35,410 (IS) / $54,554 (OS)",Not Reported,"$15,646",60%,,27%,Through Freshman Year,,,,90%,57%,73%,,"$58,390",Knoxville,TN,47°/28°,70°/45°,88°/68°,82°/59°,127,204,"30,564",53%,47%,4%,4%,7%,78%,,1%
The University of Texas at Austin (UT Austin),N/A,Not Reported,Not Reported,63%*,20%*,610-760*,620-730*,27-33*,13%,Not Considered,-,-,-,-,Dec 1,"$33,037 (IS) / $66,258 (OS)",5%,"$3,998",80%,"$16,689",18%,None,"$60,896","$75,121","$1,006,000",96%,74%,88%,Forty Acres Scholars,,Austin,TX,61°/38°,79°/56°,95°/73°,81°/58°,79,228,"43,165",58%,42%,5%,26%,28%,30%,,4%
The University of Texas at Dallas (UTD),N/A,Not Reported,Not Reported,78%,13%,580-720,580-690,24-32,40%,Considered,-,-,-,-,-,"$34,903 (IS) / $60,403 (OS)",Not Reported,"$13,523",69%,,22%,None,,,,88%,59%,73%,,"$74,953",Richardson,TX,56°/34°,75°/54°,95°/74°,78°/56°,80,230,"21,858",44%,56%,6%,43%,18%,21%,,6%
The University of the South,N/A,Not Reported,Not Reported,17%,37%,620-680,640-710,27-31,6%,Considered,-,-,-,-,-,"$77,184",Not Reported,"$39,623",85%,,98%,Through Junior Year,,,,89%,73%,81%,,,Sewanee,TN,45°/26°,67°/45°,85°/65°,69°/46°,119,204,"1,644",53%,47%,4%,1%,5%,82%,,4%
Thomas Aquinas College,N/A,Not Reported,Not Reported,42%*,15%*,570-640*,590-690*,25-33*,78%,Very Important,-,-,-,-,-,"$46,879",Not Reported,"$18,669",100%,,99%,Through Senior Year,,,,91%,83%,84%,,,,,,,,,,,566,51%,49%,0%,2%,20%,63%,,7%
Thomas Jefferson University,N/A,Not Reported,Not Reported,23%,2%,580-670,580-660,25-30,Not Reported,Not Considered,-,-,-,-,-,"$72,077",Not Reported,"$36,226",90%,,29%,Through Sophomore Year,,,,83%,58%,69%,,,,,,,,,,,"3,772",74%,26%,17%,16%,14%,43%,,2%
Towson University,N/A,Not Reported,Not Reported,17%,2%,460-600,490-635,19-27,85%,Not Considered,-,-,-,-,-,"$33,522 (IS) / $52,668 (OS)",Not Reported,"$13,825",62%,,33%,None,,,,83%,47%,70%,,,Towson,MD,42°/25°,67°/43°,87°/66°,68°/46°,121,212,"16,264",59%,41%,36%,7%,11%,38%,,1%
Trinity College,7%,3%,3%,7%,3%,640-730,658-740,30-34,6%,Important,-,-,-,-,Jan 15,"$95,840",Not Reported,"$57,089",100%,,83%,Through Sophomore Year,,,,91%,78%,84%,,,Hartford,CT,36°/18°,60°/39°,84°/63°,63°/41°,120,189,"2,204",53%,47%,6%,4%,10%,59%,,14%
Trinity University,29%,14%,14%,29%,14%,660-750,680-750,31-34,7%,Considered,-,-,-,-,-,"$74,298",Not Reported,"$45,982",95%,,79%,Through Junior Year,"$55,224","$71,668","$908,000",92%,72%,81%,Trinity Tower Scholarship,,San Antonio,TX,63°/41°,81°/58°,94°/74°,82°/60°,83,220,"2,518",55%,45%,4%,8%,25%,51%,,5%
Truman State University,3%,42%,42%,3%,42%,570-670,600-700,25-31,88%,Considered,-,-,-,-,-,"$26,760 (IS) / $35,829 (OS)",Not Reported,"$14,152",97%,,45%,Through Freshman Year,,,,84%,58%,70%,,,Kirksville,MO,34°/15°,63°/40°,86°/65°,64°/42°,98,200,"3,265",60%,40%,2%,2%,4%,78%,,10%
Tufts University,38%,18%,18%,38%,18%,750-790,720-770,33-35,6%,Considered,Nov 15,Jan 15,-,-,Jan 6,"$96,028",4%,"$45,237",100%,"$58,196",59%,Through Sophomore Year,"$68,337","$83,214","$957,000",96%,84%,94%,,,Medford,MA,36°/19°,57°/38°,82°/63°,62°/43°,134,201,"7,126",57%,43%,6%,17%,10%,41%,,13%
Tulane University,59%,14%,7%,13%,28%,700-770,700-750,31-34,16%,Important,Nov 15,Jan 15,Dec 15,-,Jan 15,"$95,707",23%,"$21,264",96%,"$54,852",56%,Through Junior Year,"$50,220","$63,268","$674,000",94%,79%,87%,Dean's Honor; Paul Tulane; Stamps Scholarship,,New Orleans,LA,62°/45°,79°/61°,92°/76°,80°/64°,108,216,"7,283",62%,38%,6%,6%,11%,66%,,5%
Union College,32%,11%,11%,32%,11%,660-760,670-720,30-34,16%,Considered,-,-,-,-,Jan 15,"$91,416",Not Reported,"$58,057",100%,,90%,Through Senior Year,"$63,219","$88,604","$992,000",90%,73%,84%,,,Schenectady,NY,31°/14°,59°/37°,83°/61°,61°/40°,137,177,"2,065",47%,53%,4%,7%,11%,63%,,11%
United States Air Force Academy (USAFA),N/A,Not Reported,Not Reported,62%*,38%*,630-740*,620-710*,26-33*,18%,Very Important,-,-,-,-,-,$0,0%,$0,N/A,,100%,Through Senior Year,,,,95%,92%,92%,,,,,,,,,,,"4,094",30%,70%,5%,8%,11%,63%,,7%
United States Coast Guard Academy (USCGA),N/A,Not Reported,Not Reported,67%*,24%*,600-690*,610-690*,25-30*,Not Reported,Important,-,-,-,-,-,$0,0%,$0,N/A,,100%,Through Senior Year,,,,99%*,83%*,88%*,,,New London,CT,38°/21°,57°/39°,81°/64°,63°/44°,118,203,"1,081",39%,61%,3%,6%,14%,63%,,3%
United States Merchant Marine Academy,N/A,Not Reported,Not Reported,78%,42%,550-650,560-650,22-29,Not Reported,Important,-,-,-,-,-,"$9,168",0%,$0,N/A,,100%,Through Senior Year,"$96,770","$90,610","$1,328,000",87%,73%,80%,,,Kings Point,NY,39°/26°,61°/44°,85°/68°,65°/50°,116,200,962,18%,82%,2%,5%,11%,75%,,0%
United States Military Academy (USMA),N/A,Not Reported,Not Reported,68%,32%,600-720,600-710,27-33,14%,Important,-,-,-,-,-,$0,0%,$0,N/A,,100%,Through Senior Year,,,,95%,84%,86%,,,West Point,NY,34°/18°,60°/39°,82°/63°,62°/43°,120,200,"4,473",22%,78%,9%,12%,12%,64%,,1%
United States Naval Academy,N/A,Not Reported,Not Reported,74%,44%,600-710,610-700,25-31,Not Reported,Very Important,-,-,-,-,-,$0,0%,$0,N/A,,100%,Through Senior Year,,,,97%,92%,92%,,,Annapolis,MD,43°/28°,66°/46°,87°/70°,68°/51°,113,213,"4,474",30%,70%,7%,10%,15%,56%,,1%
University at Buffalo,N/A,Not Reported,Not Reported,28%,3%,610-700,600-680,27-32,60%,Not Considered,-,-,-,-,-,"$34,692 (IS) / $56,122 (OS)",Not Reported,"$13,323",58%,,34%,None,,,,84%,60%,74%,,"$67,101",Buffalo,NY,32°/17°,56°/36°,81°/61°,60°/42°,164,155,"20,360",46%,54%,9%,18%,9%,44%,,11%
University of Alabama at Birmingham (UAB),N/A,Not Reported,Not Reported,4%,43%,610-740,600-710,23-30,56%,Not Considered,-,-,-,-,-,Not Reported,Not Reported,"$6,726",40%,,26%,Through Freshman Year,,,,82%,44%,63%,,,Birmingham,AL,54°/32°,74°/49°,90°/70°,75°/51°,112,213,"11,959",63%,37%,27%,9%,9%,46%,,2%
University of Arizona,N/A,Not Reported,Not Reported,11%,18%,570-720,580-700,21-29,58%,Important,-,-,-,-,-,Not Reported,Not Reported,"$16,342",61%,,5%,None,"$47,665","$59,979","$825,000",85%,50%,67%,,,Tucson,AZ,66°/39°,83°/51°,100°/74°,86°/56°,52,286,"45,025",56%,44%,4%,5%,28%,46%,,4%
University of Arkansas,N/A,Not Reported,Not Reported,31%,73%,510-600,520-620,21-28,17%*,Not Considered,-,-,-,-,-,Not Reported,Not Reported,"$10,544",55%,,25%,Through Freshman Year,,,,86%,56%,70%,,"$71,015",Fayetteville,AR,46°/25°,69°/45°,89°/67°,70°/46°,101,218,"28,859",56%,44%,4%,3%,12%,74%,,1%
University of California-Berkeley,N/A,9-11%,9-11%,Test Blind,Test Blind,,,,3%,Not Considered,-,-,-,-,Mar 2,"$52,147 (IS) / $89,749 (OS)",2%,"$13,175",90%,"$33,723",28%,None,"$74,919","$92,446","$1,254,000",97%,80%,93%,,,Berkeley,CA,58°/44°,66°/49°,72°/55°,72°/53°,67,256,"33,469",56%,44%,2%,35%,22%,20%,,10%
University of California-Davis,N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,51%,Not Considered,-,-,-,-,-,"$41,915 (IS) / $75,765 (OS)",Not Reported,"$29,932",84%,,30%,None,"$58,461","$80,838","$1,051,000",92%,71%,86%,,"$82,440",Davis,CA,54°/39°,73°/47°,94°/59°,79°/50°,67,265,"32,273",59%,41%,2%,31%,25%,20%,,13%
University of California-Irvine,N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,43%,Not Considered,-,-,-,-,-,"$39,765 (IS) / $73,615 (OS)",Not Reported,"$25,236",86%,,47%,None,"$56,210","$80,735","$1,082,000",93%,74%,86%,,"$69,338",Irvine,CA,68°/46°,72°/53°,82°/64°,78°/57°,36,281,"30,204",56%,44%,2%,37%,27%,13%,,12%
University of California-Los Angeles (UCLA),N/A,9-11%,9-11%,Test Blind,Test Blind,,,,6%,Not Considered,-,-,-,-,Mar 2,"$38,682 (IS) / $72,532 (OS)",4%,"$8,557",85%,"$28,279",60%,None,"$59,063","$82,511","$1,114,000",97%,85%,93%,,"$97,071",Los Angeles,CA,67°/46°,72°/51°,84°/62°,78°/56°,34,284,"33,471",60%,40%,3%,30%,24%,24%,,8%
University of California-Merced,N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,81%,Not Considered,-,-,-,-,-,"$42,403 (IS) / $76,253 (OS)",Not Reported,"$31,688",88%,,52%,None,,,,82%,51%,69%,,"$55,286",Merced,CA,54°/37°,74°/45°,95°/60°,79°/48°,55,262,"8,372",45%,55%,5%,23%,53%,9%,,4%
University of California-Riverside,N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,85%,Not Considered,-,-,-,-,-,"$43,507 (IS) / $81,109 (OS)",Not Reported,"$26,732",86%,,34%,None,,,,88%,65%,76%,,"$69,617",Riverside,CA,68°/42°,76°/49°,94°/63°,83°/54°,34,277,"22,599",53%,47%,4%,36%,40%,10%,,3%
University of California-San Diego,N/A,Not Reported,Not Reported,Test Blind,Test Blind,,,,22%,Not Considered,-,-,-,-,-,"$44,871 (IS) / $82,473 (OS)",Not Reported,"$27,749",82%,,48%,None,"$65,669","$84,943","$1,165,000",94%,86%,88%,,"$79,688",,,,,,,,,"34,955",55%,45%,2%,35%,27%,17%,,11%
